id,title,country,points,price,province,variety,winery,Lat,Lng
6515,Sineann 2009 Champoux Vineyard Petit Verdot (Columbia Valley (WA)),US,94,48.00,Washington,Petit Verdot,Sineann,45.245624,-122.888048
22234,Quinta da Romaneira 2014 Petit Verdot (Duriense),Portugal,92,30.00,Duriense,Petit Verdot,Quinta da Romaneira,41.216903,-7.4922091
17143,Michael David 2013 Inkblot Petit Verdot (Lodi),US,92,35.00,California,Petit Verdot,Michael David,38.1157776,-121.3719307
17233,Pelter 2013 Matar Petit Verdot (Jerusalem Hills),Israel,91,55.00,Jerusalem Hills,Petit Verdot,Pelter,28.7111969,-106.1332342
948,Marques de Griñon 2004 Estate Bottled Petit Verdot (Dominio de Valdepusa),Spain,91,45.00,Central Spain,Petit Verdot,Marques de Griñon,33.2625364,-99.08544
7133,Campolargo 2009 Diga? Tinto Petit Verdot (Bairrada),Portugal,91,58.00,Bairrada,Petit Verdot,Campolargo,40.4480802,-8.4879654
14316,Thurston Wolfe 2012 Petit Verdot (Horse Heaven Hills),US,91,30.00,Washington,Petit Verdot,Thurston Wolfe,46.219493,-119.776163
11095,La Clarine Farm 2011 Cedarville Mourvedre (Sierra Foothills),US,95,24.00,California,Mourvedre,La Clarine Farm,38.6375699,-120.65689
19497,Efeste 2014 Emmy Stone Tree Vineyard Mourvedre (Wahluke Slope),US,93,49.00,Washington,Mourvedre,Efeste,47.7714517,-122.1457261
6363,Rasa 2009 Vox Populi Mourvedre (Columbia Valley (WA)),US,93,45.00,Washington,Mourvedre,Rasa,37.7846954,-122.407845
17490,Law 2013 Prima Mourvedre (Paso Robles),US,93,90.00,California,Mourvedre,Law,38.0954015,-122.228439
5888,Mark Ryan 2008 Crazy Mary Mourvedre (Red Mountain),US,93,45.00,Washington,Mourvedre,Mark Ryan,37.8218033,-122.2595931
13668,Terre Rouge 2012 Mourvedre (Sierra Foothills),US,93,28.00,California,Mourvedre,Terre Rouge,38.5203975,-120.8238467
8039,La Bastide Blanche 2010 Cuvee Estagnol Mourvedre (Bandol),France,93,29.00,Provence,Mourvedre,La Bastide Blanche,43.2225069,5.7537764
9135,La Bastide Blanche 2010 Mourvedre (Bandol),France,93,26.00,Provence,Mourvedre,La Bastide Blanche,43.2225069,5.7537764
23877,Syncline 2015 Mourvedre (Horse Heaven Hills),US,93,35.00,Washington,Mourvedre,Syncline,45.718115,-121.3319
5025,Kestrel 2008 Winemaker Select Mourvedre (Yakima Valley),US,92,40.00,Washington,Mourvedre,Kestrel,37.5210479,-122.2883273
